Country,Year,Value
Germany,1990,12.0266092332951
Germany,1991,11.6526009432162
Germany,1992,11.0729234271655
Germany,1993,10.929642078711698
Germany,1994,10.7542702118663
Germany,1995,10.6894078557286
Germany,1996,11.0205928398973
Germany,1997,10.6162300373826
Germany,1998,10.5200427631926
Germany,1999,10.150396266184
Germany,2000,10.0968832733247
Germany,2001,10.2914483528674
Germany,2002,10.1005600841669
Germany,2003,10.1358011982818
Germany,2004,9.9474939848219
Germany,2005,9.72687792088563
Germany,2006,9.88340709166992
Germany,2007,9.52515567357219
Germany,2008,9.615747987729211
Germany,2009,8.9699549000494
Germany,2010,9.451565374244302
Germany,2011,9.29779081983736
Germany,2012,9.449949924665368
Germany,2013,9.64255894664068
Germany,2014,9.10678232951564
Germany,2015,9.08729093927033
Germany,2016,9.0730063894536
Germany,2017,8.85829369906254
Germany,2018,8.55838981170216
Spain,1961,1.74622171978822
Spain,1962,1.93578153318373
Spain,1963,1.87950931235422
Spain,1964,2.03772525684378
Spain,1965,2.22561019346008
Spain,1966,2.40773570917425
Spain,1967,2.64722755876329
Spain,1968,2.93409753966508
Spain,1969,2.89710186766242
Spain,1970,3.4579698591709
Spain,1971,3.75994979034019
Spain,1972,4.190966866158241
Spain,1973,4.440462955344151
Spain,1974,4.8949886404547405
Spain,1975,5.07985214456106
Spain,1976,5.49129460300474
Spain,1977,5.35894297593551
Spain,1978,5.43859432352152
Spain,1979,5.47831588706293
Spain,1980,5.73477895392154
Spain,1981,5.489822340222029
Spain,1982,5.52588710812812
Spain,1983,5.367036187315019
Spain,1984,5.1904825375516905
Spain,1985,5.23099848524203
Spain,1986,4.93636135990336
Spain,1987,4.93419319699474
Spain,1988,5.1341107689725
Spain,1989,5.837882861346331
Spain,1990,5.53215372028976
Spain,1991,5.702608833831509
Spain,1992,5.93702104708182
Spain,1993,5.54123493296531
Spain,1994,5.77661574566992
Spain,1995,6.0562807669409295
Spain,1996,5.76838440012262
Spain,1997,6.206345600807881
Spain,1998,6.36990671301203
Spain,1999,6.891100140825451
Spain,2000,7.230107062082441
Spain,2001,7.21632868721128
Spain,2002,7.548593755513611
Spain,2003,7.55339626091952
Spain,2004,7.817921366239769
Spain,2005,8.029202013004559
Spain,2006,7.698212588016861
Spain,2007,7.842252303352059
Spain,2008,7.05399426114393
Spain,2009,6.2008570378595
Spain,2010,5.8666424257502605
Spain,2011,5.87043576026433
Spain,2012,5.75694702858302
Spain,2013,5.20806018098009
Spain,2014,5.184066860004941
Spain,2015,5.51794438614828
Spain,2016,5.31429460704187
Spain,2017,5.65403956917695
Spain,2018,5.5203503997221794
France,1961,5.95275397653278
France,1962,6.23540842259512
France,1963,6.875291379897469
France,1964,7.0139945523702405
France,1965,7.06275207370249
France,1966,6.89913997676309
France,1967,7.326519797191531
France,1968,7.515931986760781
France,1969,8.01484111319316
France,1970,8.449427955373041
France,1971,8.829916240415551
France,1972,9.10589769494911
France,1973,9.709105990285927
France,1974,9.31238202698581
France,1975,8.286812040260779
France,1976,9.325008950105213
France,1977,8.82830186597347
France,1978,9.24925441380991
France,1979,9.63552950983764
France,1980,9.16153198126737
France,1981,8.20310996816577
France,1982,7.84102701881981
France,1983,7.54328702412502
France,1984,7.19488061940788
France,1985,7.07584870756449
France,1986,6.7679993897795
France,1987,6.58768894111375
France,1988,6.45890206598263
France,1989,6.74228227970014
France,1990,6.12235968730942
France,1991,6.50093053522882
France,1992,6.264271582765599
France,1993,5.913536993519419
France,1994,5.806442913200019
France,1995,5.91650545807202
France,1996,6.1580073802034905
France,1997,5.98917622411439
France,1998,6.333336678503031
France,1999,6.19868439783533
France,2000,6.12747793966756
France,2001,6.14204323283934
France,2002,6.00547532632575
France,2003,6.054152566444019
France,2004,6.02743954575417
France,2005,6.027601800816081
France,2006,5.8408041976332
France,2007,5.6690313848081
France,2008,5.564428999658389
France,2009,5.3144144218630895
France,2010,5.3506589250195
France,2011,5.10431227537594
France,2012,5.122311190220549
France,2013,5.10055617017218
France,2014,4.59237682939366
France,2015,4.666086596508469
France,2016,4.686612202390911
France,2017,4.727575621633751
France,2018,4.61924120513374
United Kingdom,1961,11.1541389204545
United Kingdom,1962,11.1429283943662
United Kingdom,1963,11.254853457595502
United Kingdom,1964,11.2658388888889
United Kingdom,1965,11.4561595126228
United Kingdom,1966,11.3189607765995
United Kingdom,1967,10.7841045544886
United Kingdom,1968,10.9934882280386
United Kingdom,1969,11.3426704063274
United Kingdom,1970,11.732397299834302
United Kingdom,1971,11.8230362899475
United Kingdom,1972,11.5623541783507
United Kingdom,1973,11.7455269442877
United Kingdom,1974,10.983592860989098
United Kingdom,1975,10.7360536444124
United Kingdom,1976,10.6545420185253
United Kingdom,1977,10.7618685096132
United Kingdom,1978,10.7672949904499
United Kingdom,1979,11.4653910395961
United Kingdom,1980,10.2867570419519
United Kingdom,1981,9.955296647774473
United Kingdom,1982,9.74046165830407
United Kingdom,1983,9.68779840493774
United Kingdom,1984,9.381702908748188
United Kingdom,1985,9.90013978359926
United Kingdom,1986,10.0346393903213
United Kingdom,1987,10.0677466746359
United Kingdom,1988,10.0207439610864
United Kingdom,1989,10.1919306282382
United Kingdom,1990,9.72425282701003
United Kingdom,1991,9.931929002850447
United Kingdom,1992,9.603614785461213
United Kingdom,1993,9.364743235171929
United Kingdom,1994,9.252278701328391
United Kingdom,1995,9.03651784595503
United Kingdom,1996,9.36373662363249
United Kingdom,1997,8.95674352264695
United Kingdom,1998,8.97684501282085
United Kingdom,1999,8.9014664107674
United Kingdom,2000,9.00148361810467
United Kingdom,2001,9.20979383630894
United Kingdom,2002,8.930869498290551
United Kingdom,2003,9.08804728145118
United Kingdom,2004,9.04048907859009
United Kingdom,2005,8.9501524191421
United Kingdom,2006,8.90169773868215
United Kingdom,2007,8.62913806968256
United Kingdom,2008,8.3228443641371
United Kingdom,2009,7.4686553963492
United Kingdom,2010,7.67592642970483
United Kingdom,2011,7.0254246009370105
United Kingdom,2012,7.33247132682362
United Kingdom,2013,7.06490255865771
United Kingdom,2014,6.421598191445139
United Kingdom,2015,6.14854495774701
United Kingdom,2016,5.774741667985411
United Kingdom,2017,5.54626594443601
United Kingdom,2018,5.39870813789348
Italy,1961,2.46455580982798
Italy,1962,2.87849638704821
Italy,1963,3.21510013267775
Italy,1964,3.40505343456793
Italy,1965,3.641502446157201
Italy,1966,4.07944062148937
Italy,1967,4.43148255687564
Italy,1968,4.6866127743105
Italy,1969,5.04331122129256
Italy,1970,5.513392311858469
Italy,1971,5.762318226546871
Italy,1972,6.04932145389196
Italy,1973,6.471435783767821
Italy,1974,6.521514721923809
Italy,1975,6.174325441923389
Italy,1976,6.592316217340599
Italy,1977,6.36534883105407
Italy,1978,6.64648995729563
Italy,1979,6.88000191555952
Italy,1980,6.89248498105296
Italy,1981,6.690421637942589
Italy,1982,6.53799211538689
Italy,1983,6.388587126874911
Italy,1984,6.498251683669599
Italy,1985,6.575619372201941
Italy,1986,6.47489764984918
Italy,1987,6.778406128935781
Italy,1988,6.88301251465496
Italy,1989,7.215357675101121
Italy,1990,7.145018163148871
Italy,1991,7.11910727906388
Italy,1992,7.08258154154983
Italy,1993,6.98429142363747
Italy,1994,6.9012409532153205
Italy,1995,7.32562417028845
Italy,1996,7.248469278581299
Italy,1997,7.30387208577226
Italy,1998,7.49243358572755
Italy,1999,7.607835904069481
Italy,2000,7.66216803916005
Italy,2001,7.662604586996549
Italy,2002,7.77212964817281
Italy,2003,8.06445942307569
Italy,2004,8.189430910220901
Italy,2005,8.173783296052799
Italy,2006,8.02576652003813
Italy,2007,7.860768047535941
Italy,2008,7.56424830065774
Italy,2009,6.71897026103485
Italy,2010,6.8368363621512005
Italy,2011,6.68059415640586
Italy,2012,6.327708947625671
Italy,2013,5.75173986603037
Italy,2014,5.38731095718742
Italy,2015,5.56325970991024
Italy,2016,5.49816520549801
Italy,2017,5.43785754854959
Italy,2018,5.37637433931087
Portugal,1961,1.01805031874782
Portugal,1962,1.03437786476184
Portugal,1963,1.1102086241349298
Portugal,1964,1.2199841400983795
Portugal,1965,1.28894799688174
Portugal,1966,1.3270358605261
Portugal,1967,1.39828723130941
Portugal,1968,1.47233578335682
Portugal,1969,1.66858726116032
Portugal,1970,1.7577914045973102
Portugal,1971,1.89803576130562
Portugal,1972,2.12615918326202
Portugal,1973,2.31706860803188
Portugal,1974,2.36623478687489
Portugal,1975,2.34856528915804
Portugal,1976,2.39676789075452
Portugal,1977,2.4036428917026003
Portugal,1978,2.3793826275730403
Portugal,1979,2.5908555453142004
Portugal,1980,2.76311600530477
Portugal,1981,2.76382849396865
Portugal,1982,2.9515740426206403
Portugal,1983,3.03071090037875
Portugal,1984,2.9075597685207795
Portugal,1985,2.73425939329461
Portugal,1986,3.04208613524489
Portugal,1987,3.1441777198894
Portugal,1988,3.28615514975134
Portugal,1989,4.11891514242879
Portugal,1990,4.11390395361496
Portugal,1991,4.29407539079148
Portugal,1992,4.69932461149939
Portugal,1993,4.59523265936922
Portugal,1994,4.73401207523376
Portugal,1995,5.05576602684812
Portugal,1996,4.84303123675656
Portugal,1997,5.038096337542361
Portugal,1998,5.47233537620731
Portugal,1999,6.088378078002489
Portugal,2000,5.99228486035527
Portugal,2001,5.92315416740891
Portugal,2002,6.29676809092376
Portugal,2003,5.78650308672459
Portugal,2004,5.92625178834401
Portugal,2005,6.233261260952481
Portugal,2006,5.74494824699723
Portugal,2007,5.57717924484993
Portugal,2008,5.38350512593225
Portugal,2009,5.32727897067508
Portugal,2010,4.81788690166555
Portugal,2011,4.72362932344216
Portugal,2012,4.58589780314382
Portugal,2013,4.45239423770679
Portugal,2014,4.415895223007031
Portugal,2015,4.81266984331839
Portugal,2016,4.722311430046839
Portugal,2017,5.177519101385401
Portugal,2018,4.840612760508691
