Pays,ISO3,Année,ECGTE_TaxeEnv_DeviseNat,ECGTE_TaxeEnv_PctPIB,ECGTEN_TaxeEnergie_CarbIncl_DeviseNat,ECGTEN_TaxeEnergie_CarbIncl_PctPIB,ECGTEP_TaxePollution_DeviseNat,ECGTEP_TaxePollution_PctPIB,ECGTER_TaxeRess_DeviseNat,ECGTER_TaxeRess_PctPIB,ECGTET_TaxeTransp_CarbExcl_DeviseNat,ECGTET_TaxeTransp_CarbExcl_PctPIB
Albania,ALB,2015,43993138348.27,3.06720620873782,37741109827.0,2.63131412607172,1782068792.97,0.124246022707549,32546493.0,0.0022691448973693,4437413235.3,0.309376915061182
Albania,ALB,2016,47813792742.97,3.24716268492612,40945615341.0,2.78072636825453,1879969501.87,0.127673762424316,52524339.0,0.0035670684935632,4935683561.1,0.335195485753713
Albania,ALB,2017,47548576614.95,3.06637313604198,40400044445.82,2.60536949374452,1941324188.75,0.125194585506474,61861356.38,0.0039893938970848,5145346624.0,0.331819662893909
Albania,ALB,2018,51145591824.17,3.12486507834958,43521821908.6,2.65907220109757,2226251450.57,0.136018279687278,56011991.0,0.0034221896433705,5341506474.0,0.326352407921358
Albania,ALB,2019,53415648050.56,3.15713338662001,45165295551.0,2.6694960691229,2625011287.71,0.155151366296992,58777099.5,0.0034740221259599,5566564112.35,0.329011929074157
"Andorra, Principality of",AND,2015,4600367270000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4600367270000.0,0.0
"Andorra, Principality of",AND,2016,4616888784305.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4616888784305.39,0.0
"Andorra, Principality of",AND,2017,5043868510000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5043868510000.0,0.0
"Andorra, Principality of",AND,2018,5283534540000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5283534540000.0,0.0
"Andorra, Principality of",AND,2019,5675649250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5675649250000.0,0.0
"Andorra, Principality of",AND,2020,6462284890000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6462284890000.0,0.0
Antigua and Barbuda,ATG,1995,2400000.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,2400000.0,0.15
Antigua and Barbuda,ATG,1996,3400000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3400000.0,0.2
Antigua and Barbuda,ATG,1997,2900000.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,2900000.0,0.16
Antigua and Barbuda,ATG,1998,18240000.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,18240000.0,0.93
Antigua and Barbuda,ATG,1999,18040000.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,18040000.0,0.87
Antigua and Barbuda,ATG,2000,19440000.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,19440000.0,0.87
Antigua and Barbuda,ATG,2001,19240000.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,19240000.0,0.89
Antigua and Barbuda,ATG,2002,19340000.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,19340000.0,0.88
Antigua and Barbuda,ATG,2003,18840000.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,18840000.0,0.82
Antigua and Barbuda,ATG,2004,20040000.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,20040000.0,0.81
Antigua and Barbuda,ATG,2005,19740000.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,19740000.0,0.72
Antigua and Barbuda,ATG,2006,20240000.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,20240000.0,0.65
Antigua and Barbuda,ATG,2007,22440000.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,22440000.0,0.63
Antigua and Barbuda,ATG,2008,24530000.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,24530000.0,0.66
Antigua and Barbuda,ATG,2009,17410000.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,17410000.0,0.53
Antigua and Barbuda,ATG,2010,19570000.0,0.63,11610000.0,0.37,0.0,0.0,0.0,0.0,7970000.0,0.26
Antigua and Barbuda,ATG,2011,7720000.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,7720000.0,0.25
Antigua and Barbuda,ATG,2012,8670000.0,0.27,1510000.0,0.05,0.0,0.0,0.0,0.0,7170000.0,0.22
