ECGTE - Environmental Taxes,ECGTE - Environmental Taxes,ECGTEN - Taxes on Energy (Including Fuel for Transport),ECGTEN - Taxes on Energy (Including Fuel for Transport),ECGTEP - Taxes on Pollution,ECGTEP - Taxes on Pollution,ECGTER - Taxes on Resources,ECGTER - Taxes on Resources,ECGTET - Taxes on Transport (Excluding Fuel for Transport),ECGTET - Taxes on Transport (Excluding Fuel for Transport)
Domestic Currency,Percent of GDP,Domestic Currency,Percent of GDP,Domestic Currency,Percent of GDP,Domestic Currency,Percent of GDP,Domestic Currency,Percent of GDP
43 993 138 348.27,3.0672%,37 741 109 827.00,2.6313%,1 782 068 792.97,0.1242%,32 546 493.00,0.0023%,4 437 413 235.30,0.3094%
47 813 792 742.97,3.2472%,40 945 615 341.00,2.7807%,1 879 969 501.87,0.1277%,52 524 339.00,0.0036%,4 935 683 561.10,0.3352%
47 548 576 614.95,3.0664%,40 400 044 445.82,2.6054%,1 941 324 188.75,0.1252%,61 861 356.38,0.0040%,5 145 346 624.00,0.3318%
51 145 591 824.17,3.1249%,43 521 821 908.60,2.6591%,2 226 251 450.57,0.1360%,56 011 991.00,0.0034%,5 341 506 474.00,0.3264%
53 415 648 050.56,3.1571%,45 165 295 551.00,2.6695%,2 625 011 287.71,0.1552%,58 777 099.50,0.0035%,5 566 564 112.35,0.3290%
4 600 367 270 000.00,nan%,0.00,nan%,0.00,nan%,0.00,nan%,4 600 367 270 000.00,nan%
4 616 888 784 305.39,nan%,0.00,nan%,0.00,nan%,0.00,nan%,4 616 888 784 305.39,nan%
5 043 868 510 000.00,nan%,0.00,nan%,0.00,nan%,0.00,nan%,5 043 868 510 000.00,nan%
5 283 534 540 000.00,nan%,0.00,nan%,0.00,nan%,0.00,nan%,5 283 534 540 000.00,nan%
5 675 649 250 000.00,nan%,0.00,nan%,0.00,nan%,0.00,nan%,5 675 649 250 000.00,nan%
6 462 284 890 000.00,nan%,0.00,nan%,0.00,nan%,0.00,nan%,6 462 284 890 000.00,nan%
